EWN_OFFSET;POS;SAMA_Lemma;Pos_Sentiment_score;Neg_Sentiment_Score;Confidence;ANGER;DISGUST;FEAR;JOY;SADNESS;SURPRISE
02144835;v;gam~am;0;0.125;100;0.23559569;0.11311762;0.10197077;0.09457611;0.13088921;0.10444502
00065639;v;takab~ad;0;0;100;0.12555794;0.10977595;0.13070364;0.11485644;0.15394350;0.13213455
01492725;v;raD~;0.00115966796875;0.263946533203125;68.75;0.13033842;0.07039864;0.10495806;0.12402007;0.25652388;0.14407908
00085626;v;marax;0;0;100;0.12061903;0.09571838;0.12300504;0.15278699;0.09317388;0.12968475
02583139;v;{inotaSab;0.0638885498046875;0.0625152587890625;33.0;0.09705015;0.09360680;0.17675257;0.12866216;0.15155851;0.12341427
00828003;v;waEaZ;0.068359375;0.0;33.0;0.15119103;0.15850377;0.07753208;0.09316461;0.08131861;0.21820928
01476180;v;ta$arodaq;0.0142822265625;0.006439208984375;100.0;0.12111202;0.20275953;0.12690546;0.05977333;0.22793747;0.11282989
00033406;v;>ato>ar;0.125;0.0;50.0;0.06972305;0.09096973;0.03960142;0.12945499;0.13378358;0.25629760
00685419;v;{isotanofaY;0.001953125;0.5;100.0;0.16541599;0.15893553;0.11246830;0.12902210;0.09041128;0.08766456
02491383;v;>ajo*al;0.15625;0.15625;50.0;0.11725643;0.14513000;0.06520210;0.06992349;0.02780375;0.06889149
01518924;v;Dafar;0;0;100;0.02673498;0.12974531;0.01938706;0.15831419;0.02192625;0.17143544
00025654;v;tajasoTan;0.062744140625;0.127197265625;33.0;0.11083953;0.09390848;0.10006298;0.13019779;0.11118972;0.16064872
01283033;v;lag~am;0.0;0.0;50.0;0.18606896;0.11742010;0.14723892;0.09278005;0.19351287;0.09726424
01462468;v;{imotazaj;0.0;0.0;33.0;0.07226671;0.13497520;0.10781775;0.15579193;0.06776057;0.18895692
00601822;v;{iEotanaq;0.0;0.0;100.0;0.11516399;0.15847571;0.08512736;0.11485497;0.07955078;0.20431050
00505151;v;SaraH;0.125;0.0;100.0;0.16220361;0.18231322;0.07091241;0.13300597;0.04594837;0.10379214
02647798;v;>agoraz;0.035644590854644775;0.0789804607629776;50.0;0.07426806;0.06821501;0.06581568;0.13648022;0.13361210;0.20983878
00862683;v;{iEotadaY;0.0;0.1875;50.0;0.26513989;0.12713017;0.08002850;0.09583552;0.11000218;0.07368435
02752695;v;>awojaz;0.0;0.0;33.0;0.15601000;0.08579390;0.07594945;0.10494255;0.10533065;0.25316859
00556193;v;mAh;0.0;0.0;50.0;0.06333285;0.11272836;0.07071153;0.15069198;0.09792402;0.16423571
01425511;v;HaDan;0.0;0.0;83.5;0.05430912;0.11923079;0.10592681;0.09303807;0.13198605;0.17334044
02451370;v;EAq;0;0;100;0.14580804;0.21183892;0.05372438;0.14390809;0.13143534;0.10026592
02066939;v;>azab;0;0;100;0.11050383;0.12153015;0.13693149;0.11935751;0.14798855;0.11850305
00820976;v;taZAhar;0;0;100;0.12931158;0.17245945;0.11854745;0.13140499;0.09214356;0.10976444
02437465;v;hajal;0.0;0.0;100.0;0.12175606;0.06054912;0.09641956;0.23315018;0.05651436;0.17379513
02346724;v;{isotalaf;0.0;0.0;100.0;0.12017369;0.10172297;0.11402136;0.16111210;0.07782881;0.14367149
01345109;v;>awoSad;0.0;0.0;100.0;0.12748492;0.09378699;0.17352239;0.10473343;0.18167638;0.08897910
01279631;v;baEaj;0.0;0.0625;50.0;0.04843624;0.03936248;0.17786730;0.15307168;0.08313721;0.27695030
00075021;v;{iHota*aY;0.2813720703125;0.0235595703125;50.0;0.09484233;0.12574942;0.08047213;0.13406272;0.05428479;0.14403829
02453889;v;>ay~ad;0.013702392578125;0.25390625;50.9033203125;0.13125449;0.12597539;0.12542315;0.12063636;0.12632221;0.14378369
01182021;v;>aEolaf;0.125;0.01171875;100.0;0.09361944;0.11379384;0.09581668;0.08144348;0.20867694;0.20517303
00471711;v;tazAwal;0.001953125;0.3125;50.0;0.16351258;0.11197039;0.15341666;0.09867952;0.16970975;0.08970363
00892315;v;$akar;0.0;0.0;100.0;0.07305944;0.10679172;0.06724203;0.14246465;0.13116602;0.22498657
00775156;v;taxASam;0.0625;0.0;50.0;0.17810501;0.12050442;0.05245431;0.17712538;0.07802032;0.16945854
01207951;v;jal~al;0.016878128051757812;0.0003073252737522125;50.0;0.11906087;0.12415629;0.09009886;0.16123574;0.08324990;0.19414714
01202374;v;>agodaq;0.005859375;0.015625;50.78125;0.06601526;0.06919003;0.05042306;0.13983585;0.20707679;0.21438581
02289295;v;rabiH;0.140625;0.0;100.0;0.11890665;0.13282348;0.06588787;0.13093393;0.08190017;0.17080167
00433933;v;>amoHaq;0.0;0.140625;50.0;0.10993252;0.11754437;0.13590196;0.10581158;0.16980071;0.12595805
01092366;v;qAtal;0.0625;0.0078125;100.0;0.13732295;0.15040433;0.11360854;0.10914603;0.11749551;0.11586780
00701040;v;sabak;0.0625;0.03125;50.0;0.09608605;0.08449999;0.02247782;0.17616645;0.06323089;0.28127385
02413290;v;rabaS;0.033203125;0.0341796875;50.0;0.11588993;0.13083471;0.10417622;0.12025372;0.12370131;0.13440229
01336541;v;{isotawofaY;0.140625;0.03125;50.0;0.15134354;0.11902620;0.09139869;0.10122752;0.23221638;0.10313237
02369390;v;nAwar;0.0;0.0;100.0;0.10511483;0.24128057;0.09865332;0.13535876;0.14632449;0.07362780
00521296;v;saj~as;0.03125;0.12109375;100.0;0.27902868;0.07848382;0.07337138;0.12196991;0.11656521;0.12361270
01127411;v;>azar;0.03125;0.03125;100.0;0.13286832;0.10868654;0.10976467;0.11157219;0.12589579;0.15010065
01991744;v;taEar~aj;0.0;0.0;50.0;0.05331516;0.05603453;0.21332656;0.17971602;0.06833158;0.06039098
02075462;v;nafar;0;0;33;0.14004884;0.09809058;0.16149926;0.10136211;0.23955923;0.08509898
01985029;v;{iDoTajaE;0.0;0.046875;62.5;0.11223672;0.04655326;0.11899764;0.09484256;0.17458083;0.13545915
01525666;v;{i$otagal;0.0;0.0;100.0;0.10178908;0.13252235;0.13532715;0.10784964;0.12572388;0.15135261
