EWN_OFFSET;POS;SAMA_Lemma;Pos_Sentiment_score;Neg_Sentiment_Score;Confidence;ANGER;DISGUST;FEAR;JOY;SADNESS;SURPRISE
00668816;a;Sahowap;0.0;0.03125;50.0;0.13216711;0.12194622;0.05834405;0.16364834;0.13251161;0.09746004
00085630;a;{inofiEAliy~;0.37109375;0.046875;50.0;0.10080935;0.13604859;0.04942962;0.12262537;0.11222517;0.20933256
00952181;a;sir~iy~;0.25;0.125;100;0.14850188;0.10355588;0.09737867;0.11113942;0.11527705;0.11369189
01451225;a;hAlik;0.063751220703125;0.13965511322021484;43.97869110107422;0.05594691;0.13850290;0.05116424;0.12083954;0.11199513;0.18933392
01512909;a;SurAx;0.34375;0.34375;50.0;0.02449899;0.07346445;0.00484705;0.32661166;0.04761033;0.07429729
01625893;a;rAdiE;0.25;0.75;50;0.12573982;0.18350024;0.10757690;0.12951136;0.08008441;0.09413279
01144730;a;munoHadar;0.0;0.0;50.0;0.09453842;0.22776995;0.02470171;0.12061620;0.05552931;0.24344150
02757316;a;qamariy~;0.0;0.0;75.0;0.05028438;0.06284718;0.23370773;0.12724795;0.18080364;0.07979783
03083417;a;malAyuwiy~;0.0;0.0;100.0;0.07723274;0.08982033;0.06546328;0.12001483;0.06298852;0.30711792
01365785;a;<iEowAl;0;0.625;50;0.11046561;0.23711309;0.06250000;0.07831164;0.30967784;0.07693183
00529266;a;mu&al~af;0.5;0;50;0.11730704;0.07635762;0.09346651;0.18418585;0.08519867;0.26509540
01856929;a;HAdiv;0.125;0.125;50.0;0.23353243;0.22091375;0.17079372;0.05192448;0.16803853;0.00704780
02456157;a;mutalah~if;0.078125;0.21875;33.0;0.07368861;0.05957557;0.10869577;0.16372425;0.12528854;0.23360498
01511854;a;mazoq;0.375;0.375;33;0.24864472;0.16266591;0.13545547;0.08807352;0.11285395;0.06641970
02830645;a;bAlig;0.12756215035915375;0.07330827414989471;50.04901885986328;0.11082974;0.10927471;0.18020020;0.09991074;0.15734140;0.15139244
02894878;a;jabiyniy~;0.0;0.0;100.0;0.04364511;0.03677481;0.25851447;0.05326021;0.06419340;0.04413389
00052012;a;DaEiyf;0.074188232421875;0.23027801513671875;50.0;0.06583703;0.10050971;0.14259071;0.13225567;0.25704723;0.08654966
01712753;a;EaTA';0.265625;0.38818359375;50.0;0.07986788;0.06402532;0.12072054;0.08642704;0.18672251;0.08683614
02403944;a;rAxiy;0;0.5;100;0.00403021;0.04561190;0.00000000;0.07114790;0.02847888;0.00000000
01038808;a;>usariy~;0.03125;0.0;50.0;0.09552017;0.09303736;0.12618657;0.16614539;0.12853748;0.10720557
01277426;a;ra>osiy~;0.375;0;100;0.17158143;0.13730411;0.10487835;0.15699880;0.11649614;0.10965872
01629832;a;jAriH;0.0625;0.03125;50.0;0.19693698;0.01907671;0.09177548;0.11967376;0.15395526;0.25529630
00820975;a;muHodav;0;0;100;0.07355893;0.11903125;0.10135530;0.15268299;0.08678973;0.17055807
00053691;a;girA}iy~;0.125;0.0;62.5;0.00828876;0.03017023;0.09475451;0.18584963;0.13531734;0.13370057
01344485;a;Sarof;0.5;0;50;0.16377190;0.13222250;0.06600882;0.09270388;0.06578055;0.07062094
02408793;a;siyAdiy~;0.03125;0.0;50.0;0.15657567;0.22606040;0.12401048;0.11000494;0.05902011;0.09809603
01263445;a;bahiymiy~;0.125;0.25;50.0;0.07561559;0.15054887;0.11181434;0.29305936;0.05867943;0.16865847
01053144;a;zahim;0;0.875;100;0.07279076;0.16429343;0.00592362;0.09210426;0.00961297;0.57683123
00587697;a;{inodikAk;0;0.75;50;0.03977375;0.02420393;0.11617315;0.11569314;0.23935021;0.14717424
01933520;a;wAqiE;0.17578125;0.04248046875;62.57421875;0.12008115;0.11173301;0.11741948;0.09890810;0.16476365;0.16292986
02341864;a;EimolAqiy~;0.1171875;0.1953125;33.0;0.05560656;0.10244953;0.07608387;0.15245503;0.08816220;0.16267672
01664581;a;muta$A}im;0;0.25;100;0.02730805;0.03890388;0.21244424;0.10700067;0.19029073;0.12356469
02304565;a;murotaEid;0;0.25;100;0.06282192;0.23921724;0.05641690;0.24831384;0.06270670;0.13779192
01283508;a;sariy~;0.5;0.0390625;50.0;0.08846251;0.15456520;0.11743450;0.12512983;0.10704902;0.14691634
00548579;a;baroqiy~;0.0;0.0;50.0;0.34455497;0.00000000;0.00000000;0.00000000;0.65544503;0.00000000
00440579;a;kAbiy;0;0.25;67;0.16734728;0.13606639;0.08378885;0.10701388;0.10718818;0.12785840
00519823;a;muqad~as;0.38671875;0.0;50.0;0.10380666;0.11535252;0.07741798;0.13695946;0.09676082;0.23680592
