EWN_OFFSET;POS;SAMA_Lemma;Pos_Sentiment_score;Neg_Sentiment_Score;Confidence;ANGER;DISGUST;FEAR;JOY;SADNESS;SURPRISE
00075269;r;Sahowap;0.0;0.0;50.0;0.10262733;0.11120248;0.09422184;0.13498424;0.13552723;0.14809912
00509846;r;>axoyar;0.4375;0.0;50.0;0.06411644;0.11154929;0.09558230;0.16017802;0.10454080;0.17276040
00025144;r;mudam~aY;0;0.25;100;0.12115573;0.10571777;0.12634192;0.16775420;0.06452723;0.19714736
00194578;r;galaq;0.0625;0.0;33.0;0.04440506;0.10912827;0.11836763;0.21350867;0.09060806;0.19114186
00031899;r;Eayoniy~;0.25;0.25;33;0.06065043;0.08200999;0.06878399;0.22890416;0.06777259;0.26588099
00222180;r;xalofu;0.0;0.03125;100.0;0.09222520;0.12068640;0.11300526;0.11468595;0.15204378;0.16338394
00073033;r;$iboh;0;0;33;0.10338015;0.07434723;0.16598423;0.22782350;0.10575892;0.13946262
00087367;r;{iHotiqAn;0.0;0.0;50.0;0.00000000;0.00000000;0.00000000;1.00000000;0.00000000;0.00000000
00015471;r;basiyT;0.5625;0.0;50.0;0.12305035;0.17650091;0.05072264;0.11514645;0.09343689;0.13465840
00302120;r;Eiforiytiy~;0.125;0;50;0.00000000;0.00000000;0.00000000;0.70009678;0.00000000;0.12632184
00128456;r;qawol;0.0;0.0;33.0;0.31395924;0.05676383;0.03842513;0.13137656;0.08734702;0.10756253
00452810;r;tinobAl;0.0078125;0.0625;100.0;0.15067692;0.13918321;0.04468173;0.11445179;0.06639562;0.11126698
00112601;r;EabiyT;0;0;50;0.09155757;0.06227431;0.10091039;0.21321677;0.09951923;0.12643324
00479275;r;gad;0;0;100;0.12703972;0.10959844;0.16574206;0.12717157;0.11369617;0.16144519
00053394;r;barAH;0.3125;0.0;50.0;0.16325584;0.16592046;0.05280775;0.11899405;0.10737236;0.12873876
00243938;r;januwbiy~;0;0;50;0.00000000;0.00000000;0.00000000;1.00000000;0.00000000;0.00000000
